NAME	UNIPROT_ID	UNIPROT_GENE_NAME	DESCRIPTION	LINK
Q99665	I12R2_HUMAN	IL12RB2	Interleukin-12 receptor subunit beta-2	https://www.uniprot.org/uniprot/Q99665
Q99706	KI2L4_HUMAN	KIR2DL4	Killer cell immunoglobulin-like receptor 2DL4	https://www.uniprot.org/uniprot/Q99706
Q99731	CCL19_HUMAN	CCL19	C-C motif chemokine 19	https://www.uniprot.org/uniprot/Q99731
Q99988	GDF15_HUMAN	GDF15	Growth/differentiation factor 15	https://www.uniprot.org/uniprot/Q99988
Q9BQ51	PD1L2_HUMAN	PDCD1LG2	Programmed cell death 1 ligand 2	https://www.uniprot.org/uniprot/Q9BQ51
Q9BXR5	TLR10_HUMAN	TLR10	Toll-like receptor 10	https://www.uniprot.org/uniprot/Q9BXR5
Q9BZS1	FOXP3_HUMAN	FOXP3	Forkhead box protein P3	https://www.uniprot.org/uniprot/Q9BZS1
Q9BZW8	CD244_HUMAN	CD244	Natural killer cell receptor 2B4	https://www.uniprot.org/uniprot/Q9BZW8
Q9BZZ2	SN_HUMAN	SIGLEC1	Sialoadhesin	https://www.uniprot.org/uniprot/Q9BZZ2
Q9GZX6	IL22_HUMAN	IL22	Interleukin-22	https://www.uniprot.org/uniprot/Q9GZX6
Q9H293	IL25_HUMAN	IL25	Interleukin-25	https://www.uniprot.org/uniprot/Q9H293
Q9H2A7	CXL16_HUMAN	CXCL16	C-X-C motif chemokine 16	https://www.uniprot.org/uniprot/Q9H2A7
Q9H2X3	CLC4M_HUMAN	CLEC4M	C-type lectin domain family 4 member M	https://www.uniprot.org/uniprot/Q9H2X3
Q9H5V8	CDCP1_HUMAN	CDCP1	CUB domain-containing protein 1	https://www.uniprot.org/uniprot/Q9H5V8
Q9HBE4	IL21_HUMAN	IL21	Interleukin-21	https://www.uniprot.org/uniprot/Q9HBE4
Q9HBE5	IL21R_HUMAN	IL21R	Interleukin-21 receptor	https://www.uniprot.org/uniprot/Q9HBE5
Q9HBG7	LY9_HUMAN	LY9	T-lymphocyte surface antigen Ly-9	https://www.uniprot.org/uniprot/Q9HBG7
Q9HCU0	CD248_HUMAN	CD248	Endosialin	https://www.uniprot.org/uniprot/Q9HCU0
Q9HD89	RETN_HUMAN	RETN	Resistin	https://www.uniprot.org/uniprot/Q9HD89
Q9NNX6	CD209_HUMAN	CD209	CD209 antigen	https://www.uniprot.org/uniprot/Q9NNX6
Q9NP84	TNR12_HUMAN	TNFRSF12A	Tumor necrosis factor receptor superfamily member 12A	https://www.uniprot.org/uniprot/Q9NP84
Q9NPF0	CD320_HUMAN	CD320	CD320 antigen	https://www.uniprot.org/uniprot/Q9NPF0
Q9NPF7	IL23A_HUMAN	IL23A	Interleukin-23 subunit alpha	https://www.uniprot.org/uniprot/Q9NPF7
Q9NPH9	IL26_HUMAN	IL26	Interleukin-26	https://www.uniprot.org/uniprot/Q9NPH9
Q9NPY3	C1QR1_HUMAN	CD93	Complement component C1q receptor	https://www.uniprot.org/uniprot/Q9NPY3
Q9NQ25	SLAF7_HUMAN	SLAMF7	SLAM family member 7	https://www.uniprot.org/uniprot/Q9NQ25
Q9NQS3	NECT3_HUMAN	NECTIN3	Nectin-3	https://www.uniprot.org/uniprot/Q9NQS3
Q9NR96	TLR9_HUMAN	TLR9	Toll-like receptor 9	https://www.uniprot.org/uniprot/Q9NR96
Q9NR97	TLR8_HUMAN	TLR8	Toll-like receptor 8	https://www.uniprot.org/uniprot/Q9NR97
Q9NX76	CKLF6_HUMAN	CMTM6	CKLF-like MARVEL transmembrane domain-containing protein 6	https://www.uniprot.org/uniprot/Q9NX76
Q9NYK1	TLR7_HUMAN	TLR7	Toll-like receptor 7	https://www.uniprot.org/uniprot/Q9NYK1
Q9NYY1	IL20_HUMAN	IL20	Interleukin-20	https://www.uniprot.org/uniprot/Q9NYY1
Q9NZH8	IL36G_HUMAN	IL36G	Interleukin-36 gamma	https://www.uniprot.org/uniprot/Q9NZH8
Q9NZQ7	PD1L1_HUMAN	CD274	Programmed cell death 1 ligand 1	https://www.uniprot.org/uniprot/Q9NZQ7
Q9P0M4	IL17C_HUMAN	IL17C	Interleukin-17C	https://www.uniprot.org/uniprot/Q9P0M4
Q9P0W0	IFNK_HUMAN	IFNK	Interferon kappa	https://www.uniprot.org/uniprot/Q9P0W0
Q9P1W8	SIRPG_HUMAN	SIRPG	Signal-regulatory protein gamma	https://www.uniprot.org/uniprot/Q9P1W8
Q9P2B2	FPRP_HUMAN	PTGFRN	Prostaglandin F2 receptor negative regulator	https://www.uniprot.org/uniprot/Q9P2B2
Q9P2W7	B3GA1_HUMAN	B3GAT1	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1	https://www.uniprot.org/uniprot/Q9P2W7
Q9UBD3	XCL2_HUMAN	XCL2	Cytokine SCM-1 beta	https://www.uniprot.org/uniprot/Q9UBD3
Q9UBD9	CLCF1_HUMAN	CLCF1	Cardiotrophin-like cytokine factor 1	https://www.uniprot.org/uniprot/Q9UBD9
Q9UBG0	MRC2_HUMAN	MRC2	C-type mannose receptor 2	https://www.uniprot.org/uniprot/Q9UBG0
Q9UBH0	I36RA_HUMAN	IL36RN	Interleukin-36 receptor antagonist protein	https://www.uniprot.org/uniprot/Q9UBH0
Q9UBN6	TR10D_HUMAN	TNFRSF10D	Tumor necrosis factor receptor superfamily member 10D	https://www.uniprot.org/uniprot/Q9UBN6
Q9UBR5	CKLF_HUMAN	CKLF	Chemokine-like factor	https://www.uniprot.org/uniprot/Q9UBR5
Q9UGN4	CLM8_HUMAN	CD300A	CMRF35-like molecule 8	https://www.uniprot.org/uniprot/Q9UGN4
Q9UHD0	IL19_HUMAN	IL19	Interleukin-19	https://www.uniprot.org/uniprot/Q9UHD0
Q9UHF4	I20RA_HUMAN	IL20RA	Interleukin-20 receptor subunit alpha	https://www.uniprot.org/uniprot/Q9UHF4
Q9UHF5	IL17B_HUMAN	IL17B	Interleukin-17B	https://www.uniprot.org/uniprot/Q9UHF5
Q9UHX3	AGRE2_HUMAN	ADGRE2	Adhesion G protein-coupled receptor E2	https://www.uniprot.org/uniprot/Q9UHX3
Q9UIB8	SLAF5_HUMAN	CD84	SLAM family member 5	https://www.uniprot.org/uniprot/Q9UIB8
Q9UJ71	CLC4K_HUMAN	CD207	C-type lectin domain family 4 member K	https://www.uniprot.org/uniprot/Q9UJ71
Q9ULV1	FZD4_HUMAN	FZD4	Frizzled-4	https://www.uniprot.org/uniprot/Q9ULV1
Q9ULW2	FZD10_HUMAN	FZD10	Frizzled-10	https://www.uniprot.org/uniprot/Q9ULW2
Q9UM73	ALK_HUMAN	ALK	ALK tyrosine kinase receptor	https://www.uniprot.org/uniprot/Q9UM73
Q9UNG2	TNF18_HUMAN	TNFSF18	Tumor necrosis factor ligand superfamily member 18	https://www.uniprot.org/uniprot/Q9UNG2
Q9UNN8	EPCR_HUMAN	PROCR	Endothelial protein C receptor	https://www.uniprot.org/uniprot/Q9UNN8
Q9UNQ0	ABCG2_HUMAN	ABCG2	Broad substrate specificity ATP-binding cassette transporter ABCG2	https://www.uniprot.org/uniprot/Q9UNQ0
Q9UQV4	LAMP3_HUMAN	LAMP3	Lysosome-associated membrane glycoprotein 3	https://www.uniprot.org/uniprot/Q9UQV4
Q9Y258	CCL26_HUMAN	CCL26	C-C motif chemokine 26	https://www.uniprot.org/uniprot/Q9Y258
Q9Y275	TN13B_HUMAN	TNFSF13B	Tumor necrosis factor ligand superfamily member 13B	https://www.uniprot.org/uniprot/Q9Y275
Q9Y286	SIGL7_HUMAN	SIGLEC7	Sialic acid-binding Ig-like lectin 7	https://www.uniprot.org/uniprot/Q9Y286
Q9Y2C9	TLR6_HUMAN	TLR6	Toll-like receptor 6	https://www.uniprot.org/uniprot/Q9Y2C9
Q9Y336	SIGL9_HUMAN	SIGLEC9	Sialic acid-binding Ig-like lectin 9	https://www.uniprot.org/uniprot/Q9Y336
Q9Y4X3	CCL27_HUMAN	CCL27	C-C motif chemokine 27	https://www.uniprot.org/uniprot/Q9Y4X3
Q9Y5U5	TNR18_HUMAN	TNFRSF18	Tumor necrosis factor receptor superfamily member 18	https://www.uniprot.org/uniprot/Q9Y5U5
Q9Y5Y4	PD2R2_HUMAN	PTGDR2	Prostaglandin D2 receptor 2	https://www.uniprot.org/uniprot/Q9Y5Y4
Q9Y624	JAM1_HUMAN	F11R	Junctional adhesion molecule A	https://www.uniprot.org/uniprot/Q9Y624
Q9Y6Q6	TNR11_HUMAN	TNFRSF11A	Tumor necrosis factor receptor superfamily member 11A	https://www.uniprot.org/uniprot/Q9Y6Q6
Q9Y6W8	ICOS_HUMAN	ICOS	Inducible T-cell costimulator	https://www.uniprot.org/uniprot/Q9Y6W8
P02750	A2GL_HUMAN	LRG1	Leucine-rich alpha-2-glycoprotein	https://www.uniprot.org/uniprot/P02750
P02751	FINC_HUMAN	FN1	Fibronectin	https://www.uniprot.org/uniprot/P02751
P02753	RET4_HUMAN	RBP4	Retinol-binding protein 4	https://www.uniprot.org/uniprot/P02753
P02760	AMBP_HUMAN	AMBP	Protein AMBP	https://www.uniprot.org/uniprot/P02760
P02763	A1AG1_HUMAN	ORM1	Alpha-1-acid glycoprotein 1	https://www.uniprot.org/uniprot/P02763
P02765	FETUA_HUMAN	AHSG	Alpha-2-HS-glycoprotein	https://www.uniprot.org/uniprot/P02765
P02766	TTHY_HUMAN	TTR	Transthyretin	https://www.uniprot.org/uniprot/P02766
P02768	ALBU_HUMAN	ALB	Albumin	https://www.uniprot.org/uniprot/P02768
P02771	FETA_HUMAN	AFP	Alpha-fetoprotein	https://www.uniprot.org/uniprot/P02771
P02774	VTDB_HUMAN	GC	Vitamin D-binding protein	https://www.uniprot.org/uniprot/P02774
P02787	TRFE_HUMAN	TF	Serotransferrin	https://www.uniprot.org/uniprot/P02787
P02790	HEMO_HUMAN	HPX	Hemopexin	https://www.uniprot.org/uniprot/P02790
P03951	FA11_HUMAN	F11	Coagulation factor XI	https://www.uniprot.org/uniprot/P03951
P03952	KLKB1_HUMAN	KLKB1	Plasma kallikrein	https://www.uniprot.org/uniprot/P03952
P04003	C4BPA_HUMAN	C4BPA	C4b-binding protein alpha chain	https://www.uniprot.org/uniprot/P04003
P04004	VTNC_HUMAN	VTN	Vitronectin	https://www.uniprot.org/uniprot/P04004
P04070	PROC_HUMAN	PROC	Vitamin K-dependent protein C	https://www.uniprot.org/uniprot/P04070
P04114	APOB_HUMAN	APOB	Apolipoprotein B-100	https://www.uniprot.org/uniprot/P04114
P04180	LCAT_HUMAN	LCAT	Phosphatidylcholine-sterol acyltransferase	https://www.uniprot.org/uniprot/P04180
P04196	HRG_HUMAN	HRG	Histidine-rich glycoprotein	https://www.uniprot.org/uniprot/P04196
P04211	LV743_HUMAN	IGLV7-43	Immunoglobulin lambda variable 7-43	https://www.uniprot.org/uniprot/P04211
P04217	A1BG_HUMAN	A1BG	Alpha-1B-glycoprotein	https://www.uniprot.org/uniprot/P04217
P04264	K2C1_HUMAN	KRT1	Keratin, type II cytoskeletal 1	https://www.uniprot.org/uniprot/P04264
P04275	VWF_HUMAN	VWF	von Willebrand factor	https://www.uniprot.org/uniprot/P04275
P05090	APOD_HUMAN	APOD	Apolipoprotein D	https://www.uniprot.org/uniprot/P05090
P05155	IC1_HUMAN	SERPING1	Plasma protease C1 inhibitor	https://www.uniprot.org/uniprot/P05155
P05156	CFAI_HUMAN	CFI	Complement factor I	https://www.uniprot.org/uniprot/P05156
P05160	F13B_HUMAN	F13B	Coagulation factor XIII B chain	https://www.uniprot.org/uniprot/P05160
P05452	TETN_HUMAN	CLEC3B	Tetranectin	https://www.uniprot.org/uniprot/P05452
P05543	THBG_HUMAN	SERPINA7	Thyroxine-binding globulin	https://www.uniprot.org/uniprot/P05543
P05546	HEP2_HUMAN	SERPIND1	Heparin cofactor 2	https://www.uniprot.org/uniprot/P05546
P06310	KV230_HUMAN	IGKV2-30	Immunoglobulin kappa variable 2-30	https://www.uniprot.org/uniprot/P06310
P06312	KV401_HUMAN	IGKV4-1	Immunoglobulin kappa variable 4-1	https://www.uniprot.org/uniprot/P06312
P06396	GELS_HUMAN	GSN	Gelsolin	https://www.uniprot.org/uniprot/P06396
P06681	CO2_HUMAN	C2	Complement C2	https://www.uniprot.org/uniprot/P06681
P06727	APOA4_HUMAN	APOA4	Apolipoprotein A-IV	https://www.uniprot.org/uniprot/P06727
P07225	PROS_HUMAN	PROS1	Vitamin K-dependent protein S	https://www.uniprot.org/uniprot/P07225
P07357	CO8A_HUMAN	C8A	Complement component C8 alpha chain	https://www.uniprot.org/uniprot/P07357
P07358	CO8B_HUMAN	C8B	Complement component C8 beta chain	https://www.uniprot.org/uniprot/P07358
P07360	CO8G_HUMAN	C8G	Complement component C8 gamma chain	https://www.uniprot.org/uniprot/P07360
P07996	TSP1_HUMAN	THBS1	Thrombospondin-1	https://www.uniprot.org/uniprot/P07996
P08185	CBG_HUMAN	SERPINA6	Corticosteroid-binding globulin	https://www.uniprot.org/uniprot/P08185
P08519	APOA_HUMAN	LPA	Apolipoprotein(a)	https://www.uniprot.org/uniprot/P08519
P08603	CFAH_HUMAN	CFH	Complement factor H	https://www.uniprot.org/uniprot/P08603
P08697	A2AP_HUMAN	SERPINF2	Alpha-2-antiplasmin	https://www.uniprot.org/uniprot/P08697
P09871	C1S_HUMAN	C1S	Complement C1s subcomponent	https://www.uniprot.org/uniprot/P09871
P0C0L4	CO4A_HUMAN	C4A	Complement C4-A	https://www.uniprot.org/uniprot/P0C0L4
P0C0L5	CO4B_HUMAN	C4B_2	Complement C4-B	https://www.uniprot.org/uniprot/P0C0L5
P0CAP1	MYZAP_HUMAN	MYZAP	Myocardial zonula adherens protein	https://www.uniprot.org/uniprot/P0CAP1
P0CF74	IGLC6_HUMAN	IGLC6	Immunoglobulin lambda constant 6	https://www.uniprot.org/uniprot/P0CF74
P0DJI8	SAA1_HUMAN	SAA1	Serum amyloid A-1 protein	https://www.uniprot.org/uniprot/P0DJI8
P0DJI9	SAA2_HUMAN	SAA2	Serum amyloid A-2 proteincur	https://www.uniprot.org/uniprot/P0DJI9
P0DME0	SETLP_HUMAN	SETSIP	Protein SETSIP	https://www.uniprot.org/uniprot/P0DME0
P0DOY2	IGLC2_HUMAN	IGLC2	Immunoglobulin lambda constant 2	https://www.uniprot.org/uniprot/P0DOY2
P0DOY3	IGLC3_HUMAN	IGLC3	Immunoglobulin lambda constant 3	https://www.uniprot.org/uniprot/P0DOY3
P10643	CO7_HUMAN	C7	Complement component C7	https://www.uniprot.org/uniprot/P10643
P10909	CLUS_HUMAN	CLU	Clusterin	https://www.uniprot.org/uniprot/P10909
P12259	FA5_HUMAN	F5	Coagulation factor V	https://www.uniprot.org/uniprot/P12259
P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6	https://www.uniprot.org/uniprot/P12956
P13645	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10	https://www.uniprot.org/uniprot/P13645
P13671	CO6_HUMAN	C6	Complement component C6	https://www.uniprot.org/uniprot/P13671
P15169	CBPN_HUMAN	CPN1	Carboxypeptidase N catalytic chain	https://www.uniprot.org/uniprot/P15169
P17936	IBP3_HUMAN	IGFBP3	Insulin-like growth factor-binding protein 3	https://www.uniprot.org/uniprot/P17936
P18065	IBP2_HUMAN	IGFBP2	Insulin-like growth factor-binding protein 2	https://www.uniprot.org/uniprot/P18065
P18428	LBP_HUMAN	LBP	Lipopolysaccharide-binding protein	https://www.uniprot.org/uniprot/P18428
P19652	A1AG2_HUMAN	ORM2	Alpha-1-acid glycoprotein 2	https://www.uniprot.org/uniprot/P19652
P19823	ITIH2_HUMAN	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2	https://www.uniprot.org/uniprot/P19823
P19827	ITIH1_HUMAN	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1	https://www.uniprot.org/uniprot/P19827
P20742	PZP_HUMAN	PZP	Pregnancy zone protein	https://www.uniprot.org/uniprot/P20742
P22792	CPN2_HUMAN	CPN2	Carboxypeptidase N subunit 2	https://www.uniprot.org/uniprot/P22792
P22891	PROZ_HUMAN	PROZ	Vitamin K-dependent protein Z	https://www.uniprot.org/uniprot/P22891
P23083	HV102_HUMAN	IGHV1-2	Immunoglobulin heavy variable 1-2	https://www.uniprot.org/uniprot/P23083
P23142	FBLN1_HUMAN	FBLN1	Fibulin-1	https://www.uniprot.org/uniprot/P23142
P25311	ZA2G_HUMAN	AZGP1	Zinc-alpha-2-glycoprotein	https://www.uniprot.org/uniprot/P25311
P27169	PON1_HUMAN	PON1	Serum paraoxonase/arylesterase 1	https://www.uniprot.org/uniprot/P27169
P27918	PROP_HUMAN	CFP	Properdin	https://www.uniprot.org/uniprot/P27918
P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2	https://www.uniprot.org/uniprot/P28290
P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	https://www.uniprot.org/uniprot/P32119
P35443	TSP4_HUMAN	THBS4	Thrombospondin-4	https://www.uniprot.org/uniprot/P35443
P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	https://www.uniprot.org/uniprot/P35527
P35858	ALS_HUMAN	IGFALS	Insulin-like growth factor-binding protein complex acid labile subunit	https://www.uniprot.org/uniprot/P35858
P35908	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	https://www.uniprot.org/uniprot/P35908
P36955	PEDF_HUMAN	SERPINF1	Pigment epithelium-derived factor	https://www.uniprot.org/uniprot/P36955
P36980	FHR2_HUMAN	CFHR2	Complement factor H-related protein 2	https://www.uniprot.org/uniprot/P36980
P43652	AFAM_HUMAN	AFM	Afamin	https://www.uniprot.org/uniprot/P43652
P45378	TNNT3_HUMAN	TNNT3	Troponin T, fast skeletal muscle	https://www.uniprot.org/uniprot/P45378
P49747	COMP_HUMAN	COMP	Cartilage oligomeric matrix protein	https://www.uniprot.org/uniprot/P49747
P49908	SEPP1_HUMAN	SELENOP	Selenoprotein P	https://www.uniprot.org/uniprot/P49908
P51884	LUM_HUMAN	LUM	Lumican	https://www.uniprot.org/uniprot/P51884
P54108	CRIS3_HUMAN	CRISP3	Cysteine-rich secretory protein 3	https://www.uniprot.org/uniprot/P54108
P55056	APOC4_HUMAN	APOC4	Apolipoprotein C-IV	https://www.uniprot.org/uniprot/P55056
P60709	ACTB_HUMAN	ACTB	Actin, cytoplasmic 1	https://www.uniprot.org/uniprot/P60709
P61626	LYSC_HUMAN	LYZ	Lysozyme C	https://www.uniprot.org/uniprot/P61626
P61769	B2MG_HUMAN	B2M	Beta-2-microglobulin	https://www.uniprot.org/uniprot/P61769
P68871	HBB_HUMAN	HBB	Hemoglobin subunit beta	https://www.uniprot.org/uniprot/P68871
P69905	HBA_HUMAN	HBA2	Hemoglobin subunit alpha	https://www.uniprot.org/uniprot/P69905
P80748	LV321_HUMAN	IGLV3-21	Immunoglobulin lambda variable 3-21	https://www.uniprot.org/uniprot/P80748
Q01101	INSM1_HUMAN	INSM1	Insulinoma-associated protein 1	https://www.uniprot.org/uniprot/Q01101
Q01813	PFKAP_HUMAN	PFKP	ATP-dependent 6-phosphofructokinase, platelet type	https://www.uniprot.org/uniprot/Q01813
Q02818	NUCB1_HUMAN	NUCB1	Nucleobindin-1	https://www.uniprot.org/uniprot/Q02818
Q02985	FHR3_HUMAN	CFHR3	Complement factor H-related protein 3	https://www.uniprot.org/uniprot/Q02985
Q03591	FHR1_HUMAN	CFHR1	Complement factor H-related protein 1	https://www.uniprot.org/uniprot/Q03591
Q04695	K1C17_HUMAN	KRT17	Keratin, type I cytoskeletal 17	https://www.uniprot.org/uniprot/Q04695
Q04756	HGFA_HUMAN	HGFAC	Hepatocyte growth factor activator	https://www.uniprot.org/uniprot/Q04756
Q06033	ITIH3_HUMAN	ITIH3	Inter-alpha-trypsin inhibitor heavy chain H3	https://www.uniprot.org/uniprot/Q06033
Q08380	LG3BP_HUMAN	LGALS3BP	Galectin-3-binding protein	https://www.uniprot.org/uniprot/Q08380
Q12799	TCP10_HUMAN	TCP10L3	Putative T-complex protein 10A homolog	https://www.uniprot.org/uniprot/Q12799
Q12805	FBLN3_HUMAN	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	https://www.uniprot.org/uniprot/Q12805
Q14520	HABP2_HUMAN	HABP2	Hyaluronan-binding protein 2	https://www.uniprot.org/uniprot/Q14520
Q14533	KRT81_HUMAN	KRT81	Keratin, type II cuticular Hb1	https://www.uniprot.org/uniprot/Q14533
Q14624	ITIH4_HUMAN	ITIH4	Inter-alpha-trypsin inhibitor heavy chain H4	https://www.uniprot.org/uniprot/Q14624
Q15468	STIL_HUMAN	STIL	SCL-interrupting locus protein	https://www.uniprot.org/uniprot/Q15468
Q15582	BGH3_HUMAN	TGFBI	Transforming growth factor-beta-induced protein ig-h3	https://www.uniprot.org/uniprot/Q15582
Q16584	M3K11_HUMAN	MAP3K11	Mitogen-activated protein kinase kinase kinase 11	https://www.uniprot.org/uniprot/Q16584
Q16610	ECM1_HUMAN	ECM1	Extracellular matrix protein 1	https://www.uniprot.org/uniprot/Q16610
Q460N5	PAR14_HUMAN	PARP14	Protein mono-ADP-ribosyltransferase PARP14	https://www.uniprot.org/uniprot/Q460N5
Q5T9S5	CCD18_HUMAN	CCDC18	Coiled-coil domain-containing protein 18	https://www.uniprot.org/uniprot/Q5T9S5
Q5VT06	CE350_HUMAN	CEP350	Centrosome-associated protein 350	https://www.uniprot.org/uniprot/Q5VT06
Q66K66	TM198_HUMAN	TMEM198	Transmembrane protein 198	https://www.uniprot.org/uniprot/Q66K66
Q69YQ0	CYTSA_HUMAN	SPECC1L	Cytospin-A	https://www.uniprot.org/uniprot/Q69YQ0
Q6ZNF0	ACP7_HUMAN	ACP7	Acid phosphatase type 7	https://www.uniprot.org/uniprot/Q6ZNF0
Q76LX8	ATS13_HUMAN	ADAMTS13	A disintegrin and metalloproteinase with thrombospondin motifs 13	https://www.uniprot.org/uniprot/Q76LX8
Q7Z3G6	PRIC2_HUMAN	PRICKLE2	Prickle-like protein 2	https://www.uniprot.org/uniprot/Q7Z3G6
Q7Z5K2	WAPL_HUMAN	WAPL	Wings apart-like protein homolog	https://www.uniprot.org/uniprot/Q7Z5K2
Q7Z6Z7	HUWE1_HUMAN	HUWE1	E3 ubiquitin-protein ligase HUWE1	https://www.uniprot.org/uniprot/Q7Z6Z7
Q7Z794	K2C1B_HUMAN	KRT77	Keratin, type II cytoskeletal 1b	https://www.uniprot.org/uniprot/Q7Z794
Q7Z7A1	CNTRL_HUMAN	CNTRL	Centriolin	https://www.uniprot.org/uniprot/Q7Z7A1
Q86T96	RN180_HUMAN	RNF180	E3 ubiquitin-protein ligase RNF180	https://www.uniprot.org/uniprot/Q86T96
Q86UP2	KTN1_HUMAN	KTN1	Kinectin	https://www.uniprot.org/uniprot/Q86UP2
Q8IVF5	TIAM2_HUMAN	TIAM2	T-lymphoma invasion and metastasis-inducing protein 2	https://www.uniprot.org/uniprot/Q8IVF5
Q8IXH8	CAD26_HUMAN	CDH26	Cadherin-like protein 26	https://www.uniprot.org/uniprot/Q8IXH8
Q8N3L3	TXLNB_HUMAN	TXLNB	Beta-taxilin	https://www.uniprot.org/uniprot/Q8N3L3
Q8N7B6	PACRL_HUMAN	PACRGL	PACRG-like protein	https://www.uniprot.org/uniprot/Q8N7B6
Q8N9L9	ACOT4_HUMAN	ACOT4	Peroxisomal succinyl-coenzyme A thioesterase	https://www.uniprot.org/uniprot/Q8N9L9
Q8N9W4	GG6L2_HUMAN	GOLGA6L2	Golgin subfamily A member 6-like protein 2	https://www.uniprot.org/uniprot/Q8N9W4
Q8NDH2	CC168_HUMAN	CCDC168	Coiled-coil domain-containing protein 168	https://www.uniprot.org/uniprot/Q8NDH2
Q8NEZ4	KMT2C_HUMAN	KMT2C	Histone-lysine N-methyltransferase 2C	https://www.uniprot.org/uniprot/Q8NEZ4
Q8NF91	SYNE1_HUMAN	SYNE1	Nesprin-1	https://www.uniprot.org/uniprot/Q8NF91
Q8TAL5	CI043_HUMAN	C9orf43	Uncharacterized protein C9orf43	https://www.uniprot.org/uniprot/Q8TAL5
Q8TE73	DYH5_HUMAN	DNAH5	Dynein heavy chain 5, axonemal	https://www.uniprot.org/uniprot/Q8TE73
Q8TEL6	TP4AP_HUMAN	TRPC4AP	Short transient receptor potential channel 4-associated protein	https://www.uniprot.org/uniprot/Q8TEL6
Q8WWZ7	ABCA5_HUMAN	ABCA5	ATP-binding cassette sub-family A member 5	https://www.uniprot.org/uniprot/Q8WWZ7
Q8WXH0	SYNE2_HUMAN	SYNE2	Nesprin-2	https://www.uniprot.org/uniprot/Q8WXH0
Q8WZ42	TITIN_HUMAN	TTN	Titin	https://www.uniprot.org/uniprot/Q8WZ42
Q92736	RYR2_HUMAN	RYR2	Ryanodine receptor 2	https://www.uniprot.org/uniprot/Q92736
Q92954	PRG4_HUMAN	PRG4	Proteoglycan 4	https://www.uniprot.org/uniprot/Q92954
Q96IY4	CBPB2_HUMAN	CPB2	Carboxypeptidase B2	https://www.uniprot.org/uniprot/Q96IY4
Q96LP6	CL042_HUMAN	C12orf42	Uncharacterized protein C12orf42	https://www.uniprot.org/uniprot/Q96LP6
Q96MT8	CEP63_HUMAN	CEP63	Centrosomal protein of 63 kDa	https://www.uniprot.org/uniprot/Q96MT8
Q96PD5	PGRP2_HUMAN	PGLYRP2	N-acetylmuramoyl-L-alanine amidase	https://www.uniprot.org/uniprot/Q96PD5
Q96PV0	SYGP1_HUMAN	SYNGAP1	Ras/Rap GTPase-activating protein SynGAP	https://www.uniprot.org/uniprot/Q96PV0
Q99996	AKAP9_HUMAN	AKAP9	A-kinase anchor protein 9	https://www.uniprot.org/uniprot/Q99996
Q9BXT4	TDRD1_HUMAN	TDRD1	Tudor domain-containing protein 1	https://www.uniprot.org/uniprot/Q9BXT4
Q9BYK8	HELZ2_HUMAN	HELZ2	Helicase with zinc finger domain 2	https://www.uniprot.org/uniprot/Q9BYK8
Q9H095	DRC9_HUMAN	IQCG	Dynein regulatory complex protein 9	https://www.uniprot.org/uniprot/Q9H095
Q9H257	CARD9_HUMAN	CARD9	Caspase recruitment domain-containing protein 9	https://www.uniprot.org/uniprot/Q9H257
Q9H6T3	RPAP3_HUMAN	RPAP3	RNA polymerase II-associated protein 3	https://www.uniprot.org/uniprot/Q9H6T3
Q9HBL0	TENS1_HUMAN	TNS1	Tensin-1	https://www.uniprot.org/uniprot/Q9HBL0
Q9HC96	CAN10_HUMAN	CAPN10	Calpain-10	https://www.uniprot.org/uniprot/Q9HC96
Q9HDC9	APMAP_HUMAN	APMAP	Adipocyte plasma membrane-associated protein	https://www.uniprot.org/uniprot/Q9HDC9
Q9NPH3	IL1AP_HUMAN	IL1RAP	Interleukin-1 receptor accessory protein	https://www.uniprot.org/uniprot/Q9NPH3
Q9NZP8	C1RL_HUMAN	C1RL	Complement C1r subcomponent-like protein	https://www.uniprot.org/uniprot/Q9NZP8
Q9UGM5	FETUB_HUMAN	FETUB	Fetuin-B	https://www.uniprot.org/uniprot/Q9UGM5
Q9UMX0	UBQL1_HUMAN	UBQLN1	Ubiquilin-1	https://www.uniprot.org/uniprot/Q9UMX0
Q9UPN9	TRI33_HUMAN	TRIM33	E3 ubiquitin-protein ligase TRIM33	https://www.uniprot.org/uniprot/Q9UPN9
Q9UPS8	ANR26_HUMAN	ANKRD26	Ankyrin repeat domain-containing protein 26	https://www.uniprot.org/uniprot/Q9UPS8
Q9UQE7	SMC3_HUMAN	SMC3	Structural maintenance of chromosomes protein 3	https://www.uniprot.org/uniprot/Q9UQE7
